5,11,5,0,
lib_materials:stone_sandstone_desert,lib_materials:stone_sandstone_desert_brick,lib_materials:stone_sandstone_desert_block,lib_materials:stone_sandstone_desert_cobble,,,,lib_materials:glass_framed_wood_screen,lib_ecology:tree_default_trunk,lib_ecology:tree_default_wood,
##
ggggg,ggggg,ggggg,ggggg,ggggg,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
_____,K0L08,K0L08,K0L08,_____,
_____,_____,TrN00,_____,_____,
#
ggggg,ggggg,K0m00,ggggg,ggggg,
_____,K0S16,K0m00,K0S12,_____,
_____,K0S16,K0m00,K0S12,_____,
_____,K0S16,K0m00,K0S12,_____,
_____,K0S16,K0m00,K0S12,_____,
_____,K0S16,K0m00,K0S12,_____,
_____,K0S16,K0m00,K0S12,_____,
_____,K0S16,K0m00,K0S12,_____,
_____,K0i20,K0m00,K0i21,_____,
K0L17,_____,_____,_____,K0L15,
_____,_____,_____,_____,_____,
#
ggggg,K0m00,K0m00,K0m00,ggggg,
_____,K0m00,Ld0W0,K0m00,_____,
_____,K0m00,Ld0W0,K0m00,_____,
_____,K0m00,Ld0W0,K0m00,_____,
_____,K0m00,Ld0W0,K0m00,_____,
_____,K0m00,Ld0W0,K0m00,_____,
_____,K0m00,Ld0W0,K0m00,_____,
_____,K0m00,Ld0W0,K0m00,_____,
_____,K0m00,Ld0W0,K0m00,_____,
K0L17,_____,W0tS0,_____,K0L15,
TrN00,_____,_____,_____,TrN00,
#
ggggg,ggggg,K0m00,ggggg,ggggg,
_____,K0S18,W0DS0,K0S14,_____,
_____,K0S18,_____,K0S14,_____,
_____,K0S18,K0m00,K0S14,_____,
_____,K0S18,K0m00,K0S14,_____,
_____,K0S18,K0m00,K0S14,_____,
_____,K0S18,K0m00,K0S14,_____,
_____,K0S18,K0m00,K0S14,_____,
_____,K0i23,K0m00,K0i07,_____,
K0L17,_____,_____,_____,K0L15,
_____,_____,_____,_____,_____,
#
ggggg,ggggg,ggggg,ggggg,ggggg,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
_____,K0L06,K0L06,K0L06,_____,
_____,_____,TrN00,_____,_____,

