10,7,7,0,
lib_materials:stone,lib_materials:stone_brick,lib_materials:stone_block,lib_materials:stone_cobble,,,lib_materials:stone_gravel,lib_materials:glass,,lib_ecology:tree_default_wood,
##
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,C0m00,S0m00,ggggg,
C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,_____,
C0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,C0m00,_____,
C0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,C0m00,_____,
C0L02,C0L02,C0L02,C0L02,C0L02,C0L02,C0L02,C0L02,C0L02,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,
S0m00,V0m00,V0m00,V0m00,V0m00,V0m00,C0m00,C0m00,C0m00,S0m00,
C0m00,Fu0S0,_____,_____,_____,_____,C0S01,C0m00,C0m00,C0m00,
S0m00,Fu0S0,_____,_____,_____,_____,_____,C0m00,C0m00,C0m00,
C0m00,_____,_____,_____,_____,_____,_____,_____,C0m00,_____,
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,C0m00,_____,
_____,_____,_____,_____,_____,_____,_____,_____,C0m00,_____,
#
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,
S0m00,V0m00,V0m00,V0m00,V0m00,V0m00,C0m00,C0m00,C0m00,S0m00,
C0m00,_____,_____,S0S22,_____,_____,C0S01,_____,_____,C0m00,
W0n00,_____,_____,_____,_____,_____,_____,C0L23,_____,C0m00,
C0m00,_____,_____,_____,_____,_____,_____,C0m00,_____,C0m00,
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,C0m00,_____,C0m00,
_____,_____,_____,_____,_____,_____,_____,C0m00,_____,C0m00,
#
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,
S0m00,V0m00,V0m00,V0m00,V0m00,V0m00,C0m00,C0m00,C0m00,S0m00,
C0m00,_____,_____,S0S20,_____,_____,C0S01,_____,_____,C0m00,
W0n00,_____,_____,_____,_____,_____,_____,C0L23,_____,C0m00,
C0m00,_____,_____,_____,_____,_____,_____,C0m00,_____,C0m00,
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,C0m00,_____,C0m00,
_____,_____,_____,_____,_____,_____,_____,C0m00,_____,C0m00,
#
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,
S0m00,V0m00,V0m00,V0m00,V0m00,V0m00,C0m00,C0m00,C0m00,S0m00,
C0m00,_____,_____,_____,_____,_____,C0S01,C0m00,C0m00,C0m00,
S0m00,_____,_____,_____,_____,_____,_____,C0m00,C0m00,C0m00,
C0m00,_____,_____,_____,_____,_____,_____,_____,C0m00,_____,
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,C0m00,_____,
_____,_____,_____,_____,_____,_____,_____,_____,C0m00,_____,
#
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,
S0m00,V0m00,V0m00,V0m00,V0m00,V0m00,V0m00,C0m00,S0m00,ggggg,
C0m00,_____,_____,_____,C0m00,C0m00,C0m00,C0m00,C0m00,_____,
C0m00,_____,_____,_____,W0n00,C0L02,C0L02,C0L02,C0m00,_____,
C0m00,_____,_____,_____,W0n00,_____,_____,_____,C0m00,_____,
C0L02,C0L02,C0L02,C0L02,C0L02,C0L02,C0L02,C0L02,C0L02,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,
ggggg,V0m00,V0m00,V0m00,ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
TwW00,_____,_____,_____,_____,_____,_____,_____,TwW00,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
