5,5,5,270,
lib_materials:stone,lib_materials:stone_brick,lib_materials:stone_block,lib_materials:stone_cobble,,,,,lib_ecology:tree_default_trunk,lib_ecology:tree_default_wood,
##
ggggg,ggggg,ggggg,ggggg,ggggg,
ggggg,ggggg,ggggg,ggggg,ggggg,
W0n00,T0m00,C0m00,T0m00,_____,
W0n00,T0m00,W0m00,T0m00,_____,
W0S01,W0m00,W0m00,W0m00,W0S03,
#
ggggg,ggggg,ggggg,ggggg,ggggg,
V0m00,V0m00,ggggg,ggggg,ggggg,
_____,_____,Cs0E0,W0m00,_____,
_____,_____,TwW00,W0m00,_____,
W0S01,W0m00,W0m00,W0m00,W0S03,
#
ggggg,ggggg,ggggg,ggggg,ggggg,
V0m00,V0m00,ggggg,ggggg,ggggg,
_____,_____,Cs0E0,W0m00,_____,
_____,_____,_____,W0m00,_____,
W0S01,W0m00,W0m00,W0m00,W0S03,
#
ggggg,ggggg,ggggg,ggggg,ggggg,
V0m00,V0m00,ggggg,ggggg,ggggg,
_____,_____,Cs0E0,W0m00,_____,
_____,_____,TwS00,W0m00,_____,
W0S01,W0m00,W0m00,W0m00,W0S03,
#
ggggg,ggggg,ggggg,ggggg,ggggg,
ggggg,ggggg,ggggg,ggggg,ggggg,
W0n00,T0m00,C0m00,T0m00,_____,
W0n00,T0m00,W0m00,T0m00,_____,
W0S01,W0m00,W0m00,W0m00,W0S03,
