12,8,16,270,
lib_materials:stone,lib_materials:stone_brick,lib_materials:stone_block,lib_materials:stone_cobble,,,,,,lib_ecology:tree_default_wood,
##
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,C0S00,C0S00,C0S00,C0S00,C0S00,C0S00,C0S00,C0S00,C0S00,C0S00,C0S00,
#
_____,_____,T0m00,W0n00,W0n00,W0n00,W0n00,W0n00,W0n00,W0n00,T0m00,_____,
_____,_____,T0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,T0m00,_____,
_____,_____,T0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,T0m00,_____,
_____,_____,T0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,T0m00,_____,
_____,_____,T0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,T0m00,_____,
_____,_____,T0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,T0m00,_____,
_____,_____,T0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,T0m00,_____,
_____,C0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,C0m00,
#
_____,_____,W0n00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
_____,_____,C0m00,_____,_____,_____,Fu0E0,W0m00,C0m00,C0m00,C0m00,_____,
_____,_____,W0m00,_____,TwW00,_____,Fu0E0,W0m00,C0S03,_____,W0m00,_____,
_____,C0L02,W0m00,W0m00,W0m00,W0m00,W0m00,C0S03,_____,_____,W0m00,_____,
_____,_____,W0m00,Bs0N0,Bs0N0,_____,_____,_____,_____,_____,W0m00,_____,
_____,_____,W0m00,Bs0N0,Bs0N0,_____,_____,_____,_____,_____,W0m00,_____,
_____,_____,W0m00,_____,_____,_____,TwW00,_____,_____,_____,W0m00,_____,
_____,C0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,C0m00,
#
_____,_____,W0n00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
_____,_____,C0m00,_____,_____,_____,Cs0E0,W0m00,_____,C0S02,C0m00,_____,
_____,_____,W0m00,_____,_____,_____,_____,W0m00,_____,_____,W0m00,_____,
_____,C0L02,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,_____,W0m00,_____,
_____,_____,W0m00,Bs0N0,_____,SwS00,_____,SwS00,_____,_____,W0m00,_____,
_____,_____,W0m00,Bs0N0,_____,_____,_____,_____,_____,TwN00,W0m00,_____,
_____,_____,W0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
