10,6,10,180,
lib_materials:stone,lib_materials:stone_brick,lib_materials:stone_block,lib_materials:stone_cobble,,,,,,lib_ecology:tree_default_wood,
##
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,TwS00,_____,_____,_____,TwS00,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
W0L03,W0S00,W0S00,W0S00,W0S00,W0S00,W0S00,W0S00,W0S00,W0L02,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
_____,T0m00,W0S00,W0S00,W0S00,T0m00,W0n00,W0n00,T0m00,_____,
_____,T0m00,_____,_____,_____,T0m00,C0m00,C0m00,T0m00,_____,
_____,T0m00,_____,_____,_____,T0m00,C0m00,C0m00,T0m00,_____,
W0S01,T0m00,W0m00,W0m00,W0m00,T0m00,W0m00,W0m00,T0m00,W0S03,
_____,W0L03,W0S00,W0S00,W0S00,W0S00,W0S00,W0S00,W0L02,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
_____,W0n00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
_____,C0m00,_____,_____,_____,T0m00,Bs0N0,Bs0N0,C0m00,_____,
_____,W0m00,_____,_____,SwN00,T0m00,Bs0N0,Bs0N0,W0m00,_____,
W0S01,W0m00,_____,TwW00,_____,C0S01,_____,_____,W0m00,W0S03,
_____,W0S01,C0L02,C0L02,C0L02,C0L02,C0L02,C0L02,W0S03,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
_____,W0n00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
_____,C0m00,_____,_____,_____,W0DW0,_____,_____,C0m00,_____,
_____,W0m00,_____,_____,_____,_____,_____,_____,W0m00,_____,
W0S01,W0m00,_____,_____,_____,C0S01,_____,_____,W0m00,W0S03,
_____,W0S01,C0L02,C0L02,C0L02,C0L02,C0L02,C0L02,W0S03,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
_____,W0n00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
_____,C0m00,C0S23,C0L23,C0S21,T0m00,_____,_____,C0m00,_____,
_____,W0m00,_____,_____,_____,T0m00,_____,_____,W0m00,_____,
W0S01,W0m00,C0S00,C0S00,C0S00,T0m00,_____,_____,W0m00,W0S03,
_____,W0S01,C0L02,C0L02,C0L02,C0L02,C0L02,C0L02,W0S03,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
_____,W0n00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
_____,C0m00,_____,_____,_____,_____,_____,_____,C0m00,_____,
_____,W0m00,_____,_____,_____,_____,_____,_____,W0m00,_____,
W0S01,W0m00,TwW00,_____,_____,_____,_____,_____,W0m00,W0S03,
_____,W0S01,C0L02,C0L02,C0L02,C0L02,C0L02,C0L02,W0S03,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
_____,W0n00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
_____,C0m00,_____,_____,_____,_____,_____,_____,C0m00,_____,
_____,W0m00,_____,_____,_____,_____,_____,_____,W0m00,_____,
W0S01,W0m00,_____,_____,_____,_____,_____,_____,W0m00,W0S03,
_____,W0S01,C0L02,C0L02,C0L02,C0L02,C0L02,C0L02,W0S03,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
_____,W0n00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
_____,C0m00,C0S23,C0L23,C0L23,C0L23,C0L23,C0S21,C0m00,_____,
_____,W0m00,TrN00,_____,_____,_____,_____,TrN00,W0m00,_____,
W0S01,W0m00,_____,_____,_____,_____,_____,_____,W0m00,W0S03,
_____,W0S01,C0L02,C0L02,C0L02,C0L02,C0L02,C0L02,W0S03,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
_____,T0m00,W0n00,W0n00,W0n00,W0n00,W0n00,W0n00,T0m00,_____,
_____,T0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,T0m00,_____,
_____,T0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,T0m00,_____,
W0S01,T0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,T0m00,W0S03,
_____,W0L03,W0S02,W0S02,W0S02,W0S02,W0S02,W0S02,W0L02,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
W0L03,W0S02,W0S02,W0S02,W0S02,W0S02,W0S02,W0S02,W0S02,W0L02,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
