4,8,5,0,
lib_materials:stone,lib_materials:stone_brick,lib_materials:stone_block,lib_materials:stone_cobble,,,,,,lib_ecology:tree_default_wood,
##
ggggg,ggggg,ggggg,ggggg,
_____,W0DS0,W0dS0,_____,
Rf0E0,_____,_____,Rf0W0,
_____,Rf0E0,Rf0W0,_____,
_____,_____,_____,_____,
_____,_____,_____,_____,
_____,_____,_____,_____,
_____,_____,_____,_____,
#
W0m00,W0m00,W0m00,W0m00,
W0m00,Bb0N0,_____,W0m00,
Rc0E0,_____,_____,Rc0W0,
_____,Rc0E0,Rc0W0,_____,
_____,_____,_____,_____,
_____,_____,_____,_____,
_____,_____,_____,_____,
_____,_____,_____,_____,
#
W0m00,W0m00,W0m00,W0m00,
W0m00,Bt0N0,_____,W0m00,
Rf0E0,_____,_____,Rf0W0,
_____,Rf0E0,Rf0W0,_____,
_____,_____,_____,_____,
_____,_____,_____,_____,
_____,_____,_____,_____,
_____,_____,_____,_____,
#
W0m00,W0m00,W0m00,W0m00,
W0m00,Cs0W0,_____,W0m00,
Rc0E0,TwS00,_____,Rc0W0,
_____,Rf0E0,Rf0W0,_____,
_____,_____,_____,_____,
_____,_____,_____,_____,
_____,_____,_____,_____,
_____,_____,_____,_____,
#
ggggg,W0m00,W0m00,ggggg,
_____,W0m00,W0m00,_____,
Rf0E0,W0m00,W0m00,Rf0W0,
_____,Rc0E0,Rc0W0,_____,
_____,_____,_____,_____,
_____,_____,_____,_____,
_____,_____,_____,_____,
_____,_____,_____,_____,
