10,12,11,90,
lib_materials:stone,lib_materials:stone_brick,lib_materials:stone_block,lib_materials:stone_cobble,lib_materials:stone_cobble_small,lib_materials:stone_rockwall,lib_materials:stone_gravel,lib_materials:glass,lib_ecology:tree_default_trunk,lib_ecology:tree_default_wood,
##
ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
K0S01,_____,_____,_____,_____,_____,_____,_____,_____,K0S03,
_____,K0S01,_____,_____,_____,_____,_____,_____,K0S03,_____,
_____,_____,K0S01,_____,_____,_____,_____,K0S03,_____,_____,
_____,_____,_____,K0S01,_____,_____,K0S03,_____,_____,_____,
_____,_____,_____,_____,K0S01,K0S03,_____,_____,_____,_____,
#
ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,W1S20,W1S20,W1S20,W1S20,W1S20,W1S20,_____,_____,
_____,T0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,T0m00,_____,
_____,T0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,T0m00,_____,
K0S01,T0m08,T0m08,T0m08,T0m08,T0m08,T0m08,T0m08,T0m08,K0S03,
_____,K0S01,C0m00,C0m00,Xb0N0,Xb0N0,C0m00,C0m00,K0S03,_____,
_____,_____,K0S01,C0m00,C0m00,C0m00,C0m00,K0S03,_____,_____,
_____,_____,_____,K0S01,C0m00,C0m00,K0S03,_____,_____,_____,
_____,_____,_____,_____,K0S01,K0S03,_____,_____,_____,_____,
#
ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,
_____,_____,T0m00,C0m00,C0m00,C0m00,C0m00,T0m00,_____,_____,
_____,_____,T0m00,C0m00,Xb0N0,Xb0N0,C0m00,T0m00,_____,_____,
_____,_____,T0m00,C0m00,C0m00,C0m00,C0m00,T0m00,_____,_____,
_____,W1S23,C0m00,X0S02,C0m00,C0m00,C0m00,C0m00,W1S21,_____,
_____,C0m00,_____,_____,_____,_____,_____,_____,C0m00,_____,
_____,C0m00,_____,_____,_____,_____,_____,_____,C0m00,_____,
K0S01,Bs0W0,_____,_____,TwW00,_____,_____,_____,Bs0E0,K0S03,
_____,K0S01,_____,_____,_____,_____,_____,_____,K0S03,_____,
_____,_____,K0S01,_____,_____,_____,_____,K0S03,_____,_____,
_____,_____,_____,K0S01,_____,_____,K0S03,_____,_____,_____,
_____,_____,_____,_____,K0S01,K0S03,_____,_____,_____,_____,
#
ggggg,ggggg,ggggg,W1m00,W1m00,W1m00,W1m00,ggggg,ggggg,ggggg,
_____,_____,C0m00,_____,_____,_____,_____,C0m00,_____,_____,
_____,_____,C0m00,_____,_____,_____,_____,C0m00,_____,_____,
_____,_____,C0m00,X0S02,_____,_____,_____,C0m00,_____,_____,
_____,W1S23,C0m00,_____,_____,_____,_____,C0m00,W1S21,_____,
_____,C0m00,_____,_____,_____,_____,_____,_____,C0m00,_____,
_____,C0m00,_____,_____,_____,_____,_____,_____,C0m00,_____,
K0S01,Bs0W0,_____,_____,_____,_____,_____,_____,Bs0E0,K0S03,
_____,K0S01,_____,_____,_____,_____,_____,_____,K0S03,_____,
_____,_____,K0S01,_____,_____,_____,_____,K0S03,_____,_____,
_____,_____,_____,K0S01,_____,_____,K0S03,_____,_____,_____,
_____,_____,_____,_____,K0S01,K0S03,_____,_____,_____,_____,
#
ggggg,ggggg,ggggg,W1m00,W1m00,W1m00,W1m00,ggggg,ggggg,ggggg,
_____,_____,C0m00,Cs0W0,_____,_____,_____,C0m00,_____,_____,
_____,_____,C0m00,X0S02,_____,_____,_____,C0m00,_____,_____,
_____,_____,C0m00,_____,_____,_____,_____,C0m00,_____,_____,
_____,W1S23,C0m00,_____,_____,_____,_____,C0m00,W1S21,_____,
_____,C0m00,_____,_____,_____,_____,_____,_____,C0m00,_____,
_____,C0m00,_____,_____,_____,_____,_____,_____,C0m00,_____,
