5,5,5,0,
lib_materials:stone,lib_materials:stone_brick,lib_materials:stone_block,lib_materials:stone_cobble,lib_materials:stone_cobble_small,lib_materials:stone_rockwall,lib_materials:stone_gravel,lib_materials:glass,lib_ecology:tree_default_trunk,lib_ecology:tree_default_wood,
##
ggggg,ggggg,ggggg,ggggg,ggggg,
C0m00,C0PW0,C0PW0,C0PW0,C0m00,
C0PW0,_____,_____,_____,C0PW0,
C0PW0,_____,_____,_____,C0PW0,
C0L00,C0L00,C0L00,C0L00,C0L00,
#
ggggg,ddddd,ddddd,ggggg,ggggg,
C0PW0,wwwww,wwwww,wwwww,C0PW0,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
C0L00,C0L00,C0L00,C0L00,C0L00,
#
ggggg,ddddd,ddddd,ddddd,ggggg,
C0PW0,wwwww,wwwww,wwwww,C0PW0,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
C0L00,C0L00,C0L00,C0L00,C0L00,
#
ggggg,ggggg,ddddd,ddddd,ggggg,
C0PW0,wwwww,wwwww,wwwww,C0PW0,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
C0L00,C0L00,C0L00,C0L00,C0L00,
#
ddddd,ggggg,ggggg,ggggg,ggggg,
C0m00,C0PW0,C0PW0,C0PW0,C0m00,
C0PW0,_____,_____,_____,C0PW0,
C0PW0,_____,_____,_____,C0PW0,
C0L00,C0L00,C0L00,C0L00,C0L00,
