7,6,5,0,
lib_materials:stone,lib_materials:stone_brick,lib_materials:stone_block,lib_materials:stone_cobble,lib_materials:stone_cobble_small,lib_materials:stone_rockwall,lib_materials:stone_gravel,lib_materials:glass,lib_ecology:tree_default_trunk,lib_ecology:tree_default_wood,
##
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,sssss,
ggggg,ddddd,ddddd,ddddd,ddddd,ddddd,ggggg,
_____,C0m00,C0m00,C0m00,C0m00,C0m00,_____,
_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,
#
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,
ggggg,ddddd,C0m00,C0m00,C0m00,ddddd,ggggg,
_____,C0m00,wwwww,wwwww,wwwww,C0m00,_____,
_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,
#
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,
ggggg,ddddd,C0m00,C0m00,C0m00,C0m00,ddddd,
_____,C0m00,wwwww,wwwww,wwwww,wwwww,C0m00,
_____,_____,_____,_____,_____,_____,C0m00,
_____,_____,_____,_____,_____,C0L00,C0m00,
_____,_____,_____,_____,_____,_____,_____,
#
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,
ggggg,ddddd,C0m00,C0m00,C0m00,ddddd,ggggg,
_____,C0m00,wwwww,wwwww,wwwww,C0m00,_____,
_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,
#
S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,
ggggg,ddddd,ddddd,ddddd,ddddd,ddddd,ggggg,
_____,C0m00,C0m00,C0m00,C0m00,C0m00,_____,
_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,
