6,9,6,0,
lib_materials:stone,lib_materials:stone_brick,lib_materials:stone_block,lib_materials:stone_cobble,lib_materials:stone_cobble_small,lib_materials:stone_rockwall,lib_materials:stone_gravel,lib_materials:glass,lib_ecology:tree_default_trunk,lib_ecology:tree_default_wood,
##
_____,_____,C0S20,C0S20,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
W0L00,C0S00,C0S00,C0S00,C0S00,W0L00,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
#
_____,C0m00,C0m00,C0m00,C0m00,_____,
_____,W0n00,C0m00,C0m00,W0n00,_____,
_____,W0n00,_____,_____,W0n00,_____,
_____,W0n00,_____,_____,W0n00,_____,
C0S01,W0L20,W0L20,W0L20,W0L20,C0S03,
_____,W0L00,C0S00,C0S00,W0L00,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
#
C0S21,C0m00,C0m00,C0m00,C0m00,C0S23,
_____,C0m00,rrrrr,rrrrr,C0m00,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
C0S01,W0L20,W0m00,W0m00,W0L20,C0S03,
_____,C0S01,W0n00,W0n00,C0S03,_____,
_____,_____,W0L00,W0L00,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
#
C0S21,C0m00,C0m00,C0m00,C0m00,C0S23,
_____,C0m00,rrrrr,rrrrr,C0m00,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
C0S01,W0L20,W0m00,W0m00,W0L20,C0S03,
_____,C0S01,W0n00,W0n00,C0S03,_____,
_____,_____,W0L00,W0L00,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
#
_____,C0m00,C0m00,C0m00,C0m00,_____,
_____,W0n00,C0m00,C0m00,W0n00,_____,
_____,W0n00,_____,_____,W0n00,_____,
_____,W0n00,_____,_____,W0n00,_____,
C0S01,W0L20,W0L20,W0L20,W0L20,C0S03,
_____,W0L00,C0S02,C0S02,W0L00,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
#
_____,_____,C0S22,C0S22,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
W0L00,C0S02,C0S02,C0S02,C0S02,W0L00,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,
